,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.374021759248411,,Intercept,312.69057582275315,313.0,0.30942417724685356,313.0
1,1,grade:A,1.1236670466248517,3.2244920045866047e-35,grade,86.69335917946978,87.0,0.30664082053021957,87.0
2,2,grade:B,0.8789153463431152,4.2815954160850923e-47,grade,67.81023261093343,68.0,0.1897673890665743,68.0
3,3,grade:C,0.6847937526196526,6.716245824720854e-34,grade,52.83332899904188,53.0,0.16667100095811804,53.0
4,4,grade:D,0.4969224035425502,1.3471211978471555e-20,grade,38.33864537011951,38.0,-0.338645370119508,38.0
5,5,grade:E,0.3214908693065859,1.025625796514587e-11,grade,24.803720541090943,25.0,0.19627945890905707,25.0
6,6,grade:F,0.13428366990002144,0.0062419195685920435,grade,10.360277505287165,10.0,-0.36027750528716496,10.0
7,7,home_ownership:OWN,0.09351669577071374,3.4603127964738946e-06,home_ownership,7.215016690290457,7.0,-0.2150166902904571,7.0
8,8,home_ownership:MORTGAGE,0.10624765069364879,4.424419827828788e-17,home_ownership,8.197237581386968,8.0,-0.19723758138696823,8.0
9,9,addr_state:NM_VA,0.03601774391204735,0.26086361801447155,addr_state,2.778847363354033,3.0,0.22115263664596707,3.0
10,10,addr_state:NY,0.05555649055537808,0.021829954073788446,addr_state,4.286304208114961,4.0,-0.28630420811496116,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.05799545947853014,0.012259158673993053,addr_state,4.474475970842625,4.0,-0.47447597084262494,4.0
12,12,addr_state:CA,0.06214986944427252,0.00337572098791346,addr_state,4.794997744993323,5.0,0.20500225500667657,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07645800900600264,0.0021490177746042896,addr_state,5.898901864937831,6.0,0.10109813506216891,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.13344108065006297,3.149891931717363e-09,addr_state,10.295269910104215,10.0,-0.2952699101042153,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.09789450929039596,0.0010331941110363985,addr_state,7.552774535038625,8.0,0.4472254649613747,8.0
16,16,addr_state:GA_WA_OR,0.18376201242215925,5.5736800027574515e-12,addr_state,14.177639358836833,14.0,-0.17763935883683324,14.0
17,17,addr_state:WI_MT,0.2379028903048081,5.633440256958626e-07,addr_state,18.354725967072408,18.0,-0.3547259670724081,18.0
18,18,addr_state:TX,0.22095846634529304,1.8371643606650923e-17,addr_state,17.04742676592223,17.0,-0.0474267659222285,17.0
19,19,addr_state:IL_CT,0.25989992715795435,5.6767257897695225e-19,addr_state,20.051845253894843,20.0,-0.05184525389484307,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.3185621810926956,5.1221767846824775e-25,addr_state,24.57776586882917,25.0,0.4222341311708284,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5219661017393956,1.0714430124114735e-22,addr_state,40.27082121302844,40.0,-0.27082121302844087,40.0
22,22,verification_status:Not Verified,0.08571740569000445,4.37990140834355e-09,verification_status,6.613284479363081,7.0,0.38671552063691905,7.0
23,23,verification_status:Source Verified,-0.01118620117655553,0.4049039794542153,verification_status,-0.8630397762093525,-1.0,-0.13696022379064754,-1.0
24,24,purpose:credit_card,0.3018594201713759,1.2528917458748024e-26,purpose,23.289111497242697,23.0,-0.2891114972426969,23.0
25,25,purpose:debt_consolidation,0.19808817338128976,2.5011815663630594e-14,purpose,15.282933868828323,15.0,-0.28293386882832294,15.0
26,26,purpose:oth__med__vacation,0.21282393654209064,7.730491633832902e-12,purpose,16.419830080495384,16.0,-0.41983008049538384,16.0
27,27,purpose:major_purch__car__home_impr,0.2662625304206567,1.4730846276416585e-17,purpose,20.542733948750445,21.0,0.45726605124955455,21.0
28,28,initial_list_status:w,0.05382620034705445,3.740055364267424e-05,initial_list_status,4.152808551224883,4.0,-0.1528085512248829,4.0
29,29,term:36,0.07894224766641056,1.6309335975567456e-08,term,6.09056628645946,6.0,-0.09056628645945963,6.0
30,30,emp_length:1,0.09915778009335241,0.0001314481952614385,emp_length,7.65023862797487,8.0,0.3497613720251298,8.0
31,31,emp_length:2-4,0.1258537460556399,2.5946647760651495e-11,emp_length,9.70989052642924,10.0,0.29010947357076056,10.0
32,32,emp_length:5-6,0.09109277822216391,2.0812432408749662e-05,emp_length,7.028006173884339,7.0,-0.028006173884339347,7.0
33,33,emp_length:7-9,0.0611441837504763,0.003286398086573863,emp_length,4.717406904062453,5.0,0.2825930959375471,5.0
34,34,emp_length:10,0.12504277867322228,1.1794469906741484e-11,emp_length,9.647322627176571,10.0,0.3526773728234289,10.0
35,35,mths_since_issue_d:<38,1.0842113376047904,4.7292036757463515e-181,mths_since_issue_d,83.6492653226364,84.0,0.3507346773636044,84.0
36,36,mths_since_issue_d:38-39,0.8791985616136303,1.0254265893152058e-149,mths_since_issue_d,67.83208328569124,68.0,0.16791671430875965,68.0
37,37,mths_since_issue_d:40-41,0.7782575193405186,5.631619463018855e-124,mths_since_issue_d,60.044262097895476,60.0,-0.044262097895476415,60.0
38,38,mths_since_issue_d:42-48,0.5771686751492179,1.0789043407200975e-87,mths_since_issue_d,44.529819942788755,45.0,0.4701800572112447,45.0
39,39,mths_since_issue_d:49-52,0.41569433572913284,8.235138224148707e-41,mths_since_issue_d,32.07172308245902,32.0,-0.07172308245902315,32.0
40,40,mths_since_issue_d:53-64,0.16994206844177584,5.9431646642205775e-09,mths_since_issue_d,13.111400590929344,13.0,-0.11140059092934429,13.0
